write_turns,baseline_tier,candidate_tier,metric,delta_kind,n_pairs,mean_delta,median_delta,bootstrap_95_low,bootstrap_95_high,positive_pairs,zero_pairs,negative_pairs
4,luna,terra,calls_per_100_messages,relative_percent,6,-7.194867397581773,-8.834460870291483,-20.260873321025198,5.557393345117127,2,0,4
4,luna,terra,input_tokens_per_1000_source_tokens,relative_percent,6,-22.5061616123989,-23.658702403384424,-27.991275517512765,-16.900328780943365,0,0,6
4,luna,terra,output_tokens_per_1000_source_tokens,relative_percent,6,-37.1249953945608,-37.34045324636149,-41.55680383882395,-33.042944697367474,0,0,6
4,luna,terra,wall_minutes_per_100_messages,relative_percent,6,-33.00247793660274,-34.10068204919671,-36.22955567006762,-29.414814514719623,0,0,6
4,luna,terra,first_pass_source_coverage,percentage_points,6,-14.976661793218971,-13.43559488692232,-17.901708141205475,-12.233850777910279,0,0,6
4,luna,terra,post_verify_source_coverage,percentage_points,6,-7.192952993889992,-3.342188531108814,-13.228014603737583,-1.6247011415752801,0,0,6
4,luna,terra,final_source_coverage,percentage_points,6,-7.192952993889992,-3.342188531108814,-13.054512545805855,-1.7027153259724426,0,0,6
4,luna,terra,gold_question_all_coverage,percentage_points,4,-0.334142084876346,-0.2617801047120394,-0.668284169752692,0.0,0,2,2
4,luna,terra,events_per_message,relative_percent,6,-41.188024621536165,-41.2414633683694,-44.412519004838536,-37.623843461344,0,0,6
4,luna,terra,abstract_to_source_byte_ratio,relative_percent,6,-30.964090867492356,-30.32883722213227,-35.020064868975446,-27.59431856032887,0,0,6
4,luna,sol,calls_per_100_messages,relative_percent,6,0.7609694822253231,-7.041117450324604,-10.635557570516063,15.107109784529142,2,0,4
4,luna,sol,input_tokens_per_1000_source_tokens,relative_percent,6,-12.23018750978036,-12.278627849012164,-20.19765981402592,-4.77050311205118,1,0,5
4,luna,sol,output_tokens_per_1000_source_tokens,relative_percent,6,-17.881037118644667,-15.16590942830722,-28.578597996445193,-7.991681490785687,0,0,6
4,luna,sol,wall_minutes_per_100_messages,relative_percent,6,-13.369297235632004,-13.250788193968951,-21.88783480911772,-5.883371451699216,0,0,6
4,luna,sol,first_pass_source_coverage,percentage_points,6,-11.827119070835751,-11.780062000326318,-18.096492044422636,-5.631398912439153,0,0,6
4,luna,sol,post_verify_source_coverage,percentage_points,6,-6.255415627268998,-3.6890641127599437,-11.571621157888096,-1.4755538818803757,0,1,5
4,luna,sol,final_source_coverage,percentage_points,6,-6.255415627268998,-3.6890641127599437,-11.51971114964413,-1.5157370869099445,0,1,5
4,luna,sol,gold_question_all_coverage,percentage_points,4,-0.1308900523560197,0.0,-0.3926701570680591,0.0,0,3,1
4,luna,sol,events_per_message,relative_percent,6,-23.00431969484102,-17.453161007048855,-32.159035605783494,-15.277026358794032,0,0,6
4,luna,sol,abstract_to_source_byte_ratio,relative_percent,6,-10.408051091850739,-4.5402908519469785,-20.100201548330396,-2.2969100618573095,1,0,5
4,terra,sol,calls_per_100_messages,relative_percent,6,9.69414077121792,4.516855624931537,0.6097829470130692,20.9297326290139,4,0,2
4,terra,sol,input_tokens_per_1000_source_tokens,relative_percent,6,13.22789233387621,12.635482208074292,7.5314830746200245,19.100458211665345,6,0,0
4,terra,sol,output_tokens_per_1000_source_tokens,relative_percent,6,29.964065077201354,30.263194824706424,19.10511309439899,40.75031714043488,6,0,0
