tier,write_turns,n,messages,source_tokens,calls,writer_calls,verify_calls,maintenance_calls,input_tokens,output_tokens,wall_time_hours,calls_per_100_messages,input_tokens_per_1000_source_tokens,output_tokens_per_1000_source_tokens,wall_minutes_per_100_messages,first_pass_source_coverage,post_verify_source_coverage,verify_source_coverage_gain,final_reference_precision,final_source_coverage,gold_question_any_coverage,gold_question_all_coverage,gold_unique_target_coverage,events_per_message,abstract_to_source_byte_ratio
luna,4,6,2832,529169,3211,742,684,1785,8679853,991634,6.884305277777778,113.38276836158192,16402.799483718813,1873.9457526801457,14.585392537664783,0.9212716425166997,0.9664648784630355,0.0451932359463359,1.0,0.9664648784630355,1.0,1.0,1.0,8.318328391106972,2.7880273480281477
luna,8,6,2832,529169,2257,418,399,1440,6202648,803742,5.2343069444444446,79.69632768361582,11721.487842258333,1518.8758222798388,11.089633356873822,0.8979943805050269,0.955154729523529,0.057160349018502,1.0,0.955154729523529,0.9986910994764397,0.9947643979057592,0.9985119047619048,6.48127503796056,2.4785496440985693
luna,16,6,2832,529169,1807,239,230,1338,5096729,655343,4.1110597222222225,63.806497175141246,9631.571388346634,1238.4380037379362,8.709872292843691,0.8459135349559119,0.9304972865870121,0.08458375163110027,1.0,0.9304972865870121,1.0,1.0,1.0,4.5924357222376555,2.054844965168725
luna,32,6,2832,529169,1585,174,172,1239,4860418,606279,3.855675833333333,55.967514124293785,9185.001388970253,1145.7190424987102,8.168804731638417,0.8381548099537107,0.9319652283265635,0.09381041837285282,1.0,0.9319652283265635,0.9986910994764397,0.9947643979057592,0.9970238095238095,4.153182827127954,1.8713178373773072
sol,4,6,2832,529169,3139,742,692,1705,7503422,838416,6.004713611111112,110.840395480226,14179.632593746044,1584.4012026403664,12.721850870998116,0.8030004518083422,0.9039107221903456,0.10091027038200341,1.0,0.9039107221903456,1.0,0.9986910994764397,0.9985119047619048,6.899489453665378,2.3768384787175685
sol,8,6,2832,529169,2348,418,403,1527,5626667,688465,4.866152222222222,82.909604519774,10633.024610285183,1301.0304836451114,10.309644538606403,0.7850259628975308,0.8931029037593335,0.1080769408618027,1.0,0.8931029037593335,1.0,0.9966585791512366,0.9965277777777778,5.3145021773914065,2.0661315280459234
sol,16,6,2832,529169,1716,239,234,1243,4498601,559918,3.9024558333333332,60.59322033898305,8501.255742494364,1058.108090232043,8.267914901129943,0.7589361885455034,0.880663715056469,0.12172752651096565,1.0,0.880663715056469,1.0,0.9966585791512366,0.9965277777777778,4.037098624541727,1.8071654472319632
sol,32,6,2832,529169,1630,174,171,1285,4078658,516195,3.4637875,57.556497175141246,7707.666170920821,975.4823128338961,7.338532838983051,0.7233595056716476,0.878141048698355,0.15478154302670719,1.0,0.878141048698355,0.9986910994764397,0.9953496786276763,0.9950396825396826,3.598063038970908,1.6889666380870318
terra,4,6,2832,529169,2962,742,695,1525,6658778,632822,4.632169722222223,104.590395480226,12583.461994183333,1195.8788213217329,9.813918903013183,0.77150502458451,0.8945353485241356,0.12303032393962567,1.0,0.8945353485241356,0.9986910994764397,0.9966585791512366,0.9965277777777778,4.828615544554167,1.9002455362757418
terra,8,6,2832,529169,2174,418,401,1355,5177593,523615,3.6754352777777775,76.76553672316385,9784.384572792434,989.5042982487636,7.786939147834275,0.7107285870078152,0.8709145433776664,0.16018595636985128,1.0,0.8709145433776664,0.9986910994764397,0.9940407781041161,0.9935515873015873,3.775985186497358,1.5977312838837305
terra,16,6,2832,529169,1606,239,231,1136,3988710,412265,2.795191388888889,56.7090395480226,7537.686447996764,779.0800292534143,5.922015654425612,0.6256749604246065,0.8544240863116017,0.22874912588699525,1.0,0.8544240863116017,0.9986910994764397,0.9920082577789129,0.9915674603174602,2.733073269334714,1.3758965147736724
terra,32,6,2832,529169,1466,174,171,1121,3597460,379914,2.5988722222222225,51.76553672316384,6798.319629456752,717.9445507956815,5.5060852165725045,0.5968248648248125,0.8575168146193851,0.2606919497945727,1.0,0.8575168146193851,0.9986910994764397,0.9933171583024731,0.9930555555555556,2.382077577174106,1.303158091870801
