run_id,benchmark,unit_id,tier,model,write_turns,finished_at,run_dir,messages,source_tokens,source_bytes,calls,writer_calls,verify_calls,maintenance_calls,input_tokens,cached_input_tokens,output_tokens,wall_time_s,writer_chunks,first_pass_events,verify_added_events,post_verify_events,first_pass_unique_source_ids,post_verify_unique_source_ids,first_pass_source_coverage,post_verify_source_coverage,verify_source_coverage_gain,events_per_message,calls_per_100_messages,input_tokens_per_1000_source_tokens,output_tokens_per_1000_source_tokens,wall_minutes_per_100_messages,final_reference_precision,final_source_coverage,topic_source_coverage,timeline_source_coverage,gold_question_any_coverage,gold_question_all_coverage,gold_unique_target_coverage,gold_level,abstract_bytes,abstract_files,abstract_entries,abstract_to_source_byte_ratio,build_sha256,success_sha256,unit_sha256,memory_sha256
gpt56-beam-100k-100K-conv-1-luna-w16,beam-100k,100K-conv-1,luna,gpt-5.6-luna,16,2026-07-18T10:06:34.465214+00:00,results/formal/gpt56-chunk-curve-subscription-20260718-reduced-4-8-16-32/beam-100k/100K-conv-1/luna/w16,188,130800,523208,217,13,13,191,613983,142592,92899,2027.405,13,554,788,1342,151,172,0.8031914893617021,0.9148936170212766,0.11170212765957446,7.138297872340425,115.42553191489361,4694.059633027523,710.2370030581039,17.973448581560284,1.0,0.9148936170212766,0.9148936170212766,0.9148936170212766,,,,,428734,52,2467,0.819433189094968,6d6e48c5321f4c014d1285b425b0a77a0fcff45dfd1c0b4bfb864239ceca8a48,5cda9382a4c9fa0c3223a98d41ede4cc2560b00b7db6520878c583c0c02fbe45,d5ff269d62dd5e13f0342e05eca1387a89228a89a00fef71aa949d181db094fc,0bc2f97290c77e338717124c97af4829368c12f580005911dd667dd5bc1616a8
gpt56-beam-100k-100K-conv-1-luna-w32,beam-100k,100K-conv-1,luna,gpt-5.6-luna,32,2026-07-18T02:23:46.818312+00:00,results/formal/gpt56-chunk-curve-subscription-20260718-formal-r2/beam-100k/100K-conv-1/luna/w32,188,130800,523208,136,7,7,122,513172,135168,64583,1479.551,7,428,619,1047,185,187,0.9840425531914894,0.9946808510638298,0.010638297872340425,5.569148936170213,72.34042553191489,3923.3333333333335,493.7538226299694,13.116586879432624,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,,,,,371636,51,1984,0.710302594761548,a088d081d9dc82dc0cacb38a627fdf5f6bbf206c40a84c9be9cdcff178be7460,0d221d033161eded0e60c35b897c6af1755783289aa203b71ef7864dbfd9b417,2aabfc1894d9e8dc79ae36db83fe00f6ca954cba41abffb1b6d51d0db2157d9c,593f33627bdc206572377db7a6439bd3b1550c6df6a349aa5b4dc743e8fc955f
gpt56-beam-100k-100K-conv-1-luna-w4,beam-100k,100K-conv-1,luna,gpt-5.6-luna,4,2026-07-20T04:45:17.812426+00:00,results/formal/gpt56-chunk-curve-subscription-20260720-recovery-r1/beam-100k/100K-conv-1/luna/w4,188,130800,523208,391,47,47,297,1140925,282880,177810,3914.455,47,1327,1839,3166,186,188,0.9893617021276596,1.0,0.010638297872340425,16.840425531914892,207.9787234042553,8722.668195718654,1359.4036697247707,34.70261524822695,1.0,1.0,1.0,1.0,,,,,924780,91,5802,1.7675188452775952,89fd9cb4933b029322949acf0cfcb0910b6db963bad5babcd314dc8a35fb1d5a,805e1021bdc83b57fe01df6a09e2bbccd3f10d9b05fb7f92e60a0943f646d456,899ddec40706d38f290b8008a78a5aa00d397aff9c9eb3b77954b88bc8972408,876e899777b86d68bb03a4829cbf360781bea27794eaa48aceff3d5deff991d3
gpt56-beam-100k-100K-conv-1-luna-w8,beam-100k,100K-conv-1,luna,gpt-5.6-luna,8,2026-07-18T14:28:05.742886+00:00,results/formal/gpt56-chunk-curve-subscription-20260718-reduced-4-8-16-32/beam-100k/100K-conv-1/luna/w8,188,130800,523208,255,24,24,207,757528,175616,131250,2909.41,24,943,1382,2325,182,187,0.9680851063829787,0.9946808510638298,0.026595744680851064,12.367021276595745,135.63829787234042,5791.498470948012,1003.440366972477,25.79264184397163,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,,,,,723682,65,4339,1.3831631014816288,5c73c50ec06d0ed0b26016a5c04ee92928952c3c0f9c14ba6e5c65ed7262650d,27516d8231156124e408be5df1ed926afa35cc240a5792aeb3cbf01768d8babe,61808ab52a302562331b46140bc15feac3d8408da828e9847b38205fc3529f83,46d6a1782546daee0e48eee472bd257cf05c8e6ac97ef6b8b62f717513cc04d0
gpt56-beam-100k-100K-conv-1-sol-w16,beam-100k,100K-conv-1,sol,gpt-5.6-sol,16,2026-07-19T13:57:06.588846+00:00,results/formal/gpt56-chunk-curve-subscription-20260719-remaining-4-8-16-32-r1/sol/beam-100k/100K-conv-1/sol/w16,188,130800,523208,196,13,13,170,684539,46848,90181,1965.802,13,574,771,1345,174,188,0.925531914893617,1.0,0.07446808510638298,7.154255319148936,104.25531914893617,5233.478593272172,689.4571865443426,17.42732269503546,1.0,1.0,1.0,1.0,,,,,509782,56,2552,0.9743390773841378,ab4d6f19e38627efb04db326d1944cad2488dd110b38f7ceee060eb7d99e96f9,125510e55f8b833710cf887a582ce9d4a16633d7f3763823fe68adc9b3f30a24,f26c7e5b5abb83d06d4ce8d3125de352c1dcccd1644667f98cce7559549ad698,45ed052d33d0544e1de4469c85c2afb825a87d9d6b37eff4a9d06e02144d3356
gpt56-beam-100k-100K-conv-1-sol-w32,beam-100k,100K-conv-1,sol,gpt-5.6-sol,32,2026-07-18T22:01:56.893518+00:00,results/formal/gpt56-chunk-curve-subscription-20260719-w32-only/beam-100k/100K-conv-1/sol/w32,188,130800,523208,181,7,7,167,567858,63744,71552,1623.586,7,426,652,1078,142,187,0.7553191489361702,0.9946808510638298,0.2393617021276596,5.73404255319149,96.27659574468085,4341.422018348624,547.0336391437309,14.393492907801418,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,,,,,410207,64,2062,0.7840227978165472,767358d674fe3f19306f42d6313fcf4d48a1ac3c684fd08026ddd940868d2e1a,bec35c8c4e9f8884333ee709be3b60258008b5ccd0315af0e929a484adce7d47,ea3e56afaca8b2acd0c5801a23bbfe914238643972d9742382ec738e3a027d17,79d51470e206e26da6c5ababd0412fe6138717773d73a508fb58d2f0274a7b4a
gpt56-beam-100k-100K-conv-1-sol-w4,beam-100k,100K-conv-1,sol,gpt-5.6-sol,4,2026-07-19T21:48:44.273717+00:00,results/formal/gpt56-chunk-curve-subscription-20260719-remaining-4-8-16-32-r1/sol/beam-100k/100K-conv-1/sol/w4,188,130800,523208,360,47,47,266,1075527,88576,171275,3775.215,47,1204,1544,2748,181,187,0.9627659574468085,0.9946808510638298,0.031914893617021274,14.617021276595745,191.48936170212767,8222.683486238531,1309.4418960244648,33.468218085106386,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,,,,,926750,76,4957,1.7712840782251036,43265fa1716ee11473632954db4c33828b6f8e08f2e094b2ac585a3ed795f40c,0fb0b4a6605f4a9c6e424503f89309cd0c7726ab7bb1c01eea8622e2682a10a4,42a3d2a857dcd5e7e095d622b402a059f5d1e7ee41058240601eaab30f8388b8,b92f144f509c4d9e9845d40546ecb51c63720fcb1b0519afe91555c549ee6388
gpt56-beam-100k-100K-conv-1-sol-w8,beam-100k,100K-conv-1,sol,gpt-5.6-sol,8,2026-07-20T09:25:07.993897+00:00,results/formal/gpt56-chunk-curve-subscription-20260720-recovery-r5/beam-100k/100K-conv-1/sol/w8,188,130800,523208,293,24,24,245,863566,24320,128628,3180.049,24,824,1100,1924,178,188,0.9468085106382979,1.0,0.05319148936170213,10.23404255319149,155.85106382978722,6602.186544342508,983.394495412844,28.19192375886525,1.0,1.0,1.0,1.0,,,,,692410,79,3522,1.3233933731900125,2802e565b74d41f9f2f18d7123c84e67d77075dd4920681f8ca77c7e38f7537d,62b65ea1e914d6c93a4648799dd30618b6208a6ebe4cdb1be432a4dfaae97f21,ed0f0bb5231d35456e45b994940f576e487af0f77f23c901866f617949b0cc1a,ed7255d92e1b261c249907e23f3941d09f5ffebf12c3ff0fb25ba193d2c0e0c9
gpt56-beam-100k-100K-conv-1-terra-w16,beam-100k,100K-conv-1,terra,gpt-5.6-terra,16,2026-07-19T13:39:51.288177+00:00,results/formal/gpt56-chunk-curve-subscription-20260719-remaining-4-8-16-32-r1/terra/beam-100k/100K-conv-1/terra/w16,188,130800,523208,158,13,13,132,512702,55808,58343,1311.729,13,361,480,841,116,188,0.6170212765957447,1.0,0.3829787234042553,4.473404255319149,84.04255319148936,3919.7400611620797,446.0474006116208,11.62880319148936,1.0,1.0,1.0,1.0,,,,,353032,54,1615,0.6747450344795951,fd362474a7f756cf3cae90e7b1484f3d3fd5c418079bc435c72dacfa55288880,8227f14353213ade29725eb306fde4e03d3eceeffa826c326e4e8bf31a7a64c2,c323a993f9576e2cdbd04be0557fa036d5b883528188ff823f407c07bffd3e6b,5e8df1ab9a4a55b944af0132730e94c4f8ce18b084585703f3f878d2064bd3c8
gpt56-beam-100k-100K-conv-1-terra-w32,beam-100k,100K-conv-1,terra,gpt-5.6-terra,32,2026-07-18T19:17:47.676722+00:00,results/formal/gpt56-chunk-curve-subscription-20260719-w32-only/beam-100k/100K-conv-1/terra/w32,188,130800,523208,156,7,7,142,489709,62464,48641,1139.981,7,315,381,696,106,187,0.5638297872340425,0.9946808510638298,0.4308510638297872,3.702127659574468,82.97872340425532,3743.952599388379,371.8730886850153,10.106214539007093,1.0,0.9946808510638298,0.9946808510638298,0.9946808510638298,,,,,275981,49,1307,0.5274785553737711,5fd15fb53d87973a752b57adc7c6870b78ab015c13fc3228617dccf93ac1754f,3b10b0fc37ddd4cc9ca94597bcd514a64ba00a488a0916198bc34fc6bf3660cb,1ca1b21e80ecac01f282d4a4c2f66b9a63b6d9f68d4033c9ba183f9cf706c6d4,63e3421b38c6ee355224e1afe6253cc849f2e5b96913b85af36dcea5c48146d5
