baseline_window,candidate_window,metric,delta_kind,n_pairs,mean_delta,median_delta,bootstrap_95_low,bootstrap_95_high,positive_pairs,zero_pairs,negative_pairs
4,8,calls_per_100_messages,relative_percent,18,-27.5836311672506,-28.152248634176345,-32.00004794798152,-22.92048909541621,0,0,18
4,8,input_tokens_per_1000_source_tokens,relative_percent,18,-25.21197989928052,-20.968543907296628,-29.498722085030018,-21.34691324079675,0,0,18
4,8,output_tokens_per_1000_source_tokens,relative_percent,18,-18.595232043089347,-18.188430502060196,-21.93815428513513,-15.306239815755838,0,0,18
4,8,wall_minutes_per_100_messages,relative_percent,18,-22.23291858065099,-24.558126138572835,-25.374747539863638,-18.836653798964026,0,0,18
4,8,first_pass_source_coverage,percentage_points,18,-3.400939616639297,-2.1276595744680824,-5.7021991112911765,-1.52968953990964,3,2,13
4,8,post_verify_source_coverage,percentage_points,18,-1.5246257505662646,-0.3610890201187822,-2.917006881872451,-0.28833942737105317,6,2,10
4,8,final_source_coverage,percentage_points,18,-1.5246257505662646,-0.3610890201187822,-2.896438988935124,-0.27180679243923556,6,2,10
4,8,gold_question_all_coverage,percentage_points,12,-0.3295307822188176,0.0,-0.7268122419444106,0.0,0,9,3
4,8,events_per_message,relative_percent,18,-17.509448032493783,-14.087115217176844,-21.81118195842423,-13.42189936791268,0,0,18
4,8,abstract_to_source_byte_ratio,relative_percent,18,-14.637337449901587,-12.071421699144961,-18.535244225225362,-11.086422988042779,0,0,18
8,16,calls_per_100_messages,relative_percent,18,-23.86917909582654,-23.986652616789602,-27.19982879754348,-20.300554351066154,0,0,18
8,16,input_tokens_per_1000_source_tokens,relative_percent,18,-20.194605465690433,-20.834747578758538,-23.360512152683505,-16.421895033762684,1,0,17
8,16,output_tokens_per_1000_source_tokens,relative_percent,18,-18.122045127631864,-16.860362571126302,-22.973109244701895,-13.243098979871556,1,0,17
8,16,wall_minutes_per_100_messages,relative_percent,18,-20.606317397511155,-21.458674128523246,-25.55519628643439,-15.326098252208507,1,0,17
8,16,first_pass_source_coverage,percentage_points,18,-5.440808216145043,-3.281613452367033,-8.173915053768539,-3.281202756139145,0,0,18
8,16,post_verify_source_coverage,percentage_points,18,-1.786236290181536,-1.2953361142515551,-2.919495309299533,-0.7389529923521987,4,1,13
8,16,final_source_coverage,percentage_points,18,-1.786236290181536,-1.2953361142515551,-2.93193236775683,-0.7468175709349903,4,1,13
8,16,gold_question_all_coverage,percentage_points,12,0.1067693923012536,0.0,-0.20325203252032353,0.5235602094240843,1,10,1
8,16,events_per_message,relative_percent,18,-20.340321265501743,-15.764043257723987,-25.921451463409714,-14.983893429075554,0,0,18
8,16,abstract_to_source_byte_ratio,relative_percent,18,-17.793147278575727,-13.588802301935438,-22.86625176894407,-13.089926056278506,0,0,18
16,32,calls_per_100_messages,relative_percent,18,-9.295928335650181,-7.732780612244899,-16.062232479661137,-2.5606302714141798,5,0,13
16,32,input_tokens_per_1000_source_tokens,relative_percent,18,-9.477353399326965,-9.408608880710862,-14.118792029767057,-4.753063811186955,4,0,14
16,32,output_tokens_per_1000_source_tokens,relative_percent,18,-10.216206507608963,-9.006282184062055,-15.416269518134149,-5.3811776179224715,4,0,14
16,32,wall_minutes_per_100_messages,relative_percent,18,-11.016442056588026,-12.065860213131431,-16.197797322424506,-5.928211151289248,4,0,14
16,32,first_pass_source_coverage,percentage_points,18,-2.4061834491950296,-2.7900146842878115,-5.502266113456404,0.9009293979652307,5,0,13
16,32,post_verify_source_coverage,percentage_points,18,0.06793345630735573,-0.23533845334164916,-1.340939646379449,1.624591329747444,6,2,10
16,32,final_source_coverage,percentage_points,18,0.06793345630735573,-0.23533845334164916,-1.3537179097084524,1.6114050324361004,6,2,10
16,32,gold_question_all_coverage,percentage_points,12,-0.17452006980802903,0.0,-0.5671902268760918,0.08726003490401313,1,9,2
16,32,events_per_message,relative_percent,18,-9.245261263845954,-7.013097729210263,-13.810186214116161,-4.877163743507999,2,0,16
16,32,abstract_to_source_byte_ratio,relative_percent,18,-9.039150007072466,-8.987173861152113,-13.54680734063763,-4.669312555554387,3,0,15
4,16,calls_per_100_messages,relative_percent,18,-45.234526272449266,-45.028417163967035,-48.301461089753566,-42.25198288917946,0,0,18
4,16,input_tokens_per_1000_source_tokens,relative_percent,18,-40.83014765710345,-39.732970412493316,-43.12331425270932,-38.706837965893165,0,0,18
